1,2,3
194,37,1
209,39,3
196,36,1
201,39,4
219,37,3
201,39,3
222,37,1
208,40,4
186,36,3
221,40,1
182,38,4
221,39,3
197,38,4
204,37,3
184,38,3
200,36,1
216,40,4
200,38,2
208,39,1
180,40,3
197,39,4
201,36,3
196,40,3
210,36,4
205,40,1
208,40,3
185,36,1
226,36,4
229,36,2
196,40,4
194,40,4
199,38,1
200,40,4
204,37,4
215,37,4
228,37,3
219,39,3
199,40,4
223,37,2
206,38,1
190,38,3
228,36,1
220,39,2
221,40,2
189,38,3
188,39,1
221,39,3
196,39,3
190,38,4
197,40,3
187,37,4
211,39,1
207,40,1
224,39,4
201,39,2
229,36,3
218,38,3
197,37,3
221,36,3
203,36,2
196,36,3
208,39,4
221,36,3
184,40,3
202,40,2
225,36,2
220,40,3
198,37,1
220,38,3
225,36,4
208,36,1
183,37,1
200,36,1
226,38,2
193,36,3
211,37,1
221,39,3
199,39,4
214,36,4
193,38,1
203,40,1
201,36,4
206,39,3
210,36,1
217,36,2
204,37,1
227,39,3
204,37,2
203,39,2
224,39,4
192,37,4
212,36,3
220,39,2
187,39,4
219,37,2
229,39,3
204,36,3
181,38,1
203,36,4
215,39,1
